T(K)	v(THz2π)	w(THz2π)	E(meV)	M(mₑ)	R(Å)	κ(N/m)	ReΣ(ps⁻¹)	ImΣ(ps⁻¹)	μ(cm²V⁻¹s⁻¹)
1.0	5.762659825445153	4.547373265349531	-18.891707347668483	0.19271077805649772	108.9013801663203	5.4071539230771334e-5	7.323054478716285e-13	3.2752561344355906e-7	4.4750189974461655e10
2.0	5.688841701669395	4.457306594073358	-18.40740867103551	0.1954717174147063	107.8015489783187	5.3923488554522174e-5	2.6451969786844164e-13	4.927400954743752e-5	2.974556679620481e8
3.0	5.613923790742363	4.365039340223078	-17.994692898032245	0.19848968716618565	106.66157463578037	5.378208748434084e-5	1.4734366098452025e-13	0.003369832783203853	4.349424545975972e6
4.0	5.540011957771428	4.272291808563598	-17.631455437493106	0.2017812617452505	105.45458794158475	5.368146456544038e-5	9.664928033831543e-14	0.026923961687087116	544378.7802643792
5.0	5.471675086726654	4.183140550760042	-17.308162891262423	0.20531322919699732	104.14283758843459	5.3687110055586344e-5	6.709221906771372e-14	0.09406597819951511	155814.39436066925
6.0	5.413932624983213	4.102230340174761	-17.019167946265007	0.20900989877527287	102.69867855879623	5.3867537687194225e-5	6.436868357666908e-14	0.22028499138266552	66535.77863432563
7.0	5.370519297486219	4.03313516681341	-16.760299036428872	0.21277875060298804	101.11430652939579	5.427287231837315e-5	4.4249190794877195e-14	0.41170720608579114	35600.138172095016
8.0	5.343363453408109	3.977825412615353	-16.528149330422814	0.2165305811889131	99.40054357863562	5.492942960056847e-5	4.701729060434332e-14	0.6678931997636163	21944.875959642606
9.0	5.3328211216413735	3.9368466504792505	-16.319850482420378	0.22019035024029426	97.5808339858895	5.584337062217025e-5	4.1661858592110724e-14	0.9843360278926467	14890.071081193688
10.0	5.338184747216067	3.909766492295683	-16.132990653792426	0.22370042313896846	95.68455282282484	5.7007356325306756e-5	2.509664507561909e-14	1.3558272594712828	10810.251321261183
11.0	5.358163147062334	3.895605631149751	-15.965563253572684	0.22701948921167944	93.74184348675843	5.840655299380876e-5	2.6138127790464712e-14	1.7771289248546278	8247.478963463676
12.0	5.391222218262284	3.8931465925665347	-15.815910944377942	0.23011991158805642	91.7804676338678	6.002277917865801e-5	8.220697457874976e-14	2.244378966070262	6530.462833896706
13.0	5.4357933109550185	3.901123122995455	-15.682662264413155	0.2329849141924758	89.82424230240895	6.183701355396281e-5	6.212435676447387e-14	2.754571034838501	5320.913215788855
14.0	5.4903895978599895	3.9183258035015296	-15.564668293740452	0.23560607473127457	87.89250161563388	6.383082771992426e-5	2.5664323204291835e-14	3.3057111346225065	4433.79134661598
15.0	5.553664575923248	3.943655013133508	-15.460946420660305	0.23798123052395947	86.0001699169485	6.598716746107752e-5	2.6151667666113316e-14	3.895930970889828	3762.0875556102965
16.0	5.6244347209256835	3.9761416012086483	-15.370634887480223	0.240112805649589	84.15817821922441	6.829072583583183e-5	-6.568395767026326e-14	4.523643854989861	3240.0502543837447
17.0	5.701680354461244	4.014948233576766	-15.292958728664232	0.2420065266718078	82.37404484795431	7.072805189211382e-5	-5.53727269030738e-14	5.18701475327392	2825.6779901869986
18.0	5.784534233330961	4.059360045304171	-15.227205849164958	0.24367046475455956	80.65249960463036	7.328749386558626e-5	4.3655068003738827e-14	5.883900145336268	2491.006485675789
19.0	5.872264319553588	4.108770347736943	-15.172711205015277	0.24511432979493578	78.9960763087545	7.595904954156163e-5	2.534965861521959e-14	6.612243160922219	2216.6204518493773
20.0	5.964254857573844	4.162664991172481	-15.128846960847023	0.24634894735059135	77.40563417156936	7.873417504626925e-5	1.5863771154363164e-14	7.369751070437337	1988.7826987664585
21.0	6.059988131835059	4.220607408979132	-15.095016767074823	0.24738586376049623	75.88079350777859	8.160558501831903e-5	1.484136996695012e-14	8.152975664063238	1797.7280967126994
22.0	6.159028077631384	4.282225312079486	-15.070652693504835	0.24823704080232406	74.42028658637274	8.456706312449233e-5	1.3774837553795389e-14	8.95950627197035	1635.8974454825704
23.0	6.261006143063696	4.347199332709145	-15.055213748743263	0.2489146150601804	73.0222324830407	8.761329167579406e-5	2.1187534069451287e-14	9.786993406052902	1497.582844393932
24.0	6.365609439888351	4.415253615132806	-15.048185248844757	0.24943070523684566	71.68434748438317	9.07397042611694e-5	1.0571403812495892e-14	10.632079383679807	1378.5481554623768
25.0	6.472570946571481	4.48614812355837	-15.049078557832427	0.24979725807793046	70.40410330112046	9.394236051160976e-5	-8.321042562716002e-16	11.491856330142612	1275.4104299631001
26.0	6.581661493251529	4.5596724191047	-15.057430911107652	0.2500259260770774	69.17884394318952	9.721784129611585e-5	-3.3686407367518807e-15	12.363940403796954	1185.4500219525696
27.0	6.692683240090149	4.635640649894473	-15.07280516259119	0.25012797219535615	68.00587053308908	0.00010056316181147284	-2.5638574028218536e-14	13.245336243744665	1106.5655981382354
28.0	6.805464381382062	4.713887522158024	-15.094789381470859	0.25011419786954125	66.88250163591228	0.00010397569987070232	-2.3686212258610328e-14	14.134101202579346	1036.9837609784925
29.0	6.9198548448476895	4.794265056136363	-15.122996277156213	0.2499948910860812	65.80611511614552	0.00010745313689400758	4.049149156228293e-15	15.027349256251327	975.3438995240075
30.0	7.035722793610544	4.876639965840825	-15.157062461437555	0.24977979160934277	64.77417620343424	0.00011099340940096723	1.386186777544237e-14	15.924600125530247	920.3894168496948
31.0	7.152951773370706	4.960891533190211	-15.196647572505956	0.24947807069470776	63.78425536626386	0.00011459466912353546	1.6076636751455187e-14	16.824240147993574	871.1735742103816
32.0	7.271438377600871	5.0469098736778095	-15.241433291814309	0.24909832284168762	62.83403873183157	0.0001182552501664334	8.501329290860279e-15	17.721586580409618	827.0610171723451
33.0	7.391090329003647	5.1345945126242665	-15.29112228549087	0.2486485673680209	61.921333118573415	0.00012197364191845449	1.1061088071526686e-14	18.61752443240082	787.2600611493485
34.0	7.511824895988886	5.2238532084172675	-15.34543709965228	0.24813625782574303	61.04406723072504	0.0001257484666521621	1.0170953439488956e-14	19.509329986098148	751.27302852253
35.0	7.63356757947042	5.314600972881615	-15.404119035113188	0.24756829752103748	60.20029016940342	0.00012957846094657067	9.265726181446447e-15	20.395694929084875	718.6238798953732
