T(K)	v(THz2π)	w(THz2π)	E(meV)	M(mₑ)	R(Å)	κ(N/m)	ReΣ(ps⁻¹)	ImΣ(ps⁻¹)	μ(cm²V⁻¹s⁻¹)
1.0	5.39335565195796	4.178441187990888	-17.89794550927979	0.1999266909617534	67.6673703776506	5.018444818242895e-5	2.1997407628081616e-12	2.708577401343443e-5	5.411266229952165e8
2.0	5.339657332795861	4.106031511706669	-17.41353557761136	0.20293804158646062	66.8583594761779	5.0285996936368647e-5	7.953222716405381e-13	9.951104349729566e-6	1.4728851098320236e9
3.0	5.285994461519559	4.032600878818287	-16.99938125602948	0.20618837347969424	66.03104929714519	5.040433601926395e-5	4.433756582300233e-13	5.394888899999714e-6	2.7167998627556796e9
4.0	5.232680288072688	3.958340189139513	-16.63202664319484	0.20970240710728041	65.18302819106637	5.054510011617062e-5	2.953707174024253e-13	2.120586830467641e-6	6.911687469014968e9
5.0	5.180236636067175	3.883618951149184	-16.30053488443047	0.21350459227725144	64.31082716778141	5.071715650673507e-5	2.1712414731784486e-13	0.00017784643439246046	8.241286069732256e7
6.0	5.129636479571902	3.809209234456581	-15.998729877007017	0.21761296556192336	63.40888050422432	5.0936124283102955e-5	1.6996229114303733e-13	0.0020412937232594753	7.180168760670943e6
7.0	5.082667992930549	3.73663626713872	-15.722915451912272	0.22202561438179502	62.46856570680042	5.122943903903502e-5	1.3899841948315426e-13	0.01132611611392719	1.2940740917425829e6
8.0	5.04205366810678	3.6683263985595405	-15.470932788846374	0.22670454750591112	61.47934812466259	5.1637784782386395e-5	1.1738366591706465e-13	0.04030466268655358	363651.0628332629
9.0	5.011016469741779	3.607253952120567	-15.241585953879177	0.23156849362647894	60.43262871001482	5.22088031594006e-5	1.0148492486550239e-13	0.10691097122693162	137093.8197913331
10.0	4.992485237122219	3.5562382147882983	-15.034195198946614	0.23650108401155853	59.326099344431384	5.29859088118356e-5	-2.759361921425231e-14	0.23118527711529469	63398.64547599126
11.0	4.988406733474687	3.5173065497192466	-14.848263370038945	0.24137068229311026	58.16587731057768	5.399865806956299e-5	-2.3841029597331116e-14	0.4313410625942661	33979.68497353119
12.0	4.999478762084003	3.49141670911056	-14.683266838649194	0.24605224372232787	56.96543758578869	5.5258957180164866e-5	-2.6437067134785857e-14	0.7210897543887346	20325.948793331438
13.0	5.025301771447467	3.478551272503082	-14.538555090977797	0.25044289811327297	55.74238639819041	5.6763084855199925e-5	2.6000341791840783e-13	1.1085224575823545	13221.954433893348
