T(K)	v(ω₀)	w(ω₀)	E(meV)	Reχ(m₀/ω₀)	Imχ(m₀/ω₀)	μ(cm²V⁻¹s⁻¹)
1	3.0134699566974747	2.9581774537638488	-5.841999442459532	-1.070315805868352e-14	4.817599734844301e-7	6.236816924432184e7
2	3.0020538844923013	2.9465935818985716	-5.847407484109467	-3.785591500662825e-15	1.6810319300624453e-7	1.7873835127153593e8
3	2.9905803915165814	2.934950101103508	-5.852861254311118	-2.0611034732927268e-15	9.403243179654198e-8	3.195332396212888e8
4	2.9790496755692764	2.923247142547771	-5.858361854636361	-1.3392783928711843e-15	6.111624702824018e-8	4.9162847888112736e8
5	2.967462075244209	2.9114849744329083	-5.863910441144849	-9.586963660026606e-16	4.375959562876029e-8	6.866262617305671e8
6	2.9558180940794654	2.8996640257955244	-5.869508229071612	-7.296043385256833e-16	2.5718459378246e-8	1.1682848929447076e9
7	2.944118437472353	2.8877849230125925	-5.875156495999165	-5.792265391064807e-16	2.0415571899905943e-8	1.4717436135872035e9
8	2.9323639981469114	2.875848474890001	-5.880856601023053	-4.742909867403245e-16	1.6742432875019128e-8	1.7946309109142907e9
9	2.9205559970512813	2.863855812871342	-5.886609965486179	-3.976524087357416e-16	1.4054102903969505e-8	2.1379157223141203e9
10	2.908695930987822	2.8518083382071517	-5.892418108839862	-3.3967077460395506e-16	1.1349401440210183e-8	2.6474072416686406e9
11	2.8967856861853116	2.8397078346942184	-5.898282645599872	-2.9455290191982943e-16	1.0600098181053174e-8	2.834548043632523e9
12	2.884827607293091	2.82755653676137	-5.9042053016178695	-2.5862949408742275e-16	1.001790489489245e-8	2.999278579370014e9
13	2.8728246058610156	2.8153572367487487	-5.9101879322195865	-2.294753246515557e-16	1.2423925789203917e-8	2.4184374626196327e9
14	2.8607875008072527	2.803120538257223	-5.916232547751771	-2.0542989295315374e-16	2.5327392278018923e-8	1.1863237727594094e9
15	2.8487056247515214	2.790835812516321	-5.922341349989327	-1.8532208755663636e-16	6.961363977180444e-8	4.3161782173594445e8
16	2.836592882166124	2.778516709981139	-5.928516782415231	-1.683046938930041e-16	1.9370486090054547e-7	1.551147834996449e8
17	2.8244567231821924	2.7661705040056983	-5.934761595468544	-1.537512902153936e-16	4.955697728266219e-7	6.06301861189764e7
18	2.8123067172431435	2.7538065647072894	-5.941078924795125	-1.4118976552676404e-16	1.1519652868391793e-6	2.6082806404574927e7
19	2.800155086767323	2.7414368888523595	-5.947472377228686	-1.3025827201841216e-16	2.4515634378484905e-6	1.2256051423162825e7
20	2.788017246400838	2.7290766357632523	-5.953946116661824	-1.2067530219409668e-16	4.832437979007215e-6	6.217666463996656e6
21	2.7759122906958495	2.7167446125796024	-5.960504940802887	-1.1221891064474314e-16	8.914513972518112e-6	3.37051326118788e6
22	2.7638633731724584	2.704463652278058	-5.967154340222148	-1.0471200094515214e-16	1.552718229172941e-5	1.9350895092808485e6
23	2.7518979281775366	2.6922608361937796	-5.973900532813829	-9.801172291728517e-17	2.5727593757112155e-5	1.1678701026251577e6
24	2.7400477015947	2.6801675272737753	-5.980750469338136	-9.200171006588671e-17	4.080794958588648e-5	736290.0578520756
25	2.7283487239366155	2.6682193457787613	-5.987711808518668	-8.645582321715657e-17	6.229150410729094e-5	482352.898553627
26	2.716841137223859	2.656455999775759	-5.994792862796489	-8.156316008737148e-17	9.191653899374222e-5	326888.804673798
27	2.7055670239341763	2.644919141253967	-6.0020025179808965	-7.711897678988587e-17	0.00013161319342338578	228293.8874126438
28	2.6945716370443553	2.6336535810777284	-6.009350131538888	-7.306769719920223e-17	0.00018347051781226716	163767.38845944425
29	2.6839018142848285	2.622705721660199	-6.016845415112457	-6.936228577915529e-17	0.0002496993399500639	120330.66474034646
30	2.6736050416302155	2.6121226303083547	-6.024498307112458	-6.596269635589029e-17	0.000332592093677959	90340.35424338812
31	2.6637284834218744	2.6019510790493894	-6.032318841026756	-6.283464350975973e-17	0.0004344816456705383	69154.79137224772
32	2.6543180241076154	2.5922365955055584	-6.040317014530243	-5.994862155590299e-17	0.0005577010896867698	53875.61207436838
33	2.645417362969567	2.583022565816215	-6.048502663723556	-5.727911525320106e-17	0.0007045458299589594	42646.60478249823
34	2.6370671992287633	2.5743494266718545	-6.056885345963234	-5.480396023691675e-17	0.0008772391606658314	34251.1927290289
35	2.6293045340183863	2.566253972739085	-6.065474233866162	-5.2503821300157846e-17	0.001077901996903204	27874.971609422788
36	2.6221621144242344	2.558768804482577	-6.074278022236414	-5.03617641179567e-17	0.0013085271389057995	22962.066791019748
37	2.615668028572281	2.5519219253300203	-6.083304848913757	-4.836290158596626e-17	0.0015709731936170669	19126.03453928886
38	2.609845457480502	2.545736493901083	-6.092562229901636	-4.6494100129521334e-17	0.0018668885569830009	16094.419481564446
39	2.60471257789501	2.540230725633533	-6.1020570086096555	-4.474373451815835e-17	0.002197790206780966	13671.226429489412
40	2.6002826053578625	2.5354179332182007	-6.111795318635105	-4.3101482145515897e-17	0.0025649951588260504	11714.052347439381
41	2.596563959856758	2.531306688419127	-6.121782559207197	-4.1558149603653815e-17	0.002969632059128065	10117.91594485921
42	2.593560533189562	2.527901084665652	-6.132023382210199	-4.010552582745375e-17	0.003412628399337754	8804.500240122155
43	2.5912720351868392	2.5252010778263796	-6.142521689575429	-3.8736257213203145e-17	0.003894762384662814	7714.5881042029705
44	2.589694395496337	2.5232028821316805	-6.153280639772981	-3.7443741000686695e-17	0.004416592678593673	6803.092281306844
45	2.588820199106197	2.5218993996622086	-6.1643026621266825	-3.622203390602433e-17	0.004978515674419766	6035.230081889576
46	2.5886391358372696	2.521280663845417	-6.175589477710012	-3.506577354648412e-17	0.0055807608243947	5383.941098152301
47	2.5891384471660883	2.52133428049488	-6.187142125643182	-3.397011064003395e-17	0.006223400053095358	4827.985876702976
48	2.5903033570044682	2.522045853152482	-6.198960993694951	-3.2930650316579686e-17	0.006906358189348145	4350.5544800381795
49	2.5921174763703454	2.5233993827634262	-6.211045852188373	-3.1943401163347893e-17	0.007629423554850173	3938.2382358777027
50	2.5945631751275893	2.5253776349212016	-6.22339589031155	-3.1004730858118946e-17	0.008392259166432138	3580.2621160221893
51	2.5976219165509296	2.5279624704682546	-6.236009754038688	-3.0111327432622385e-17	0.009194413854304894	3267.9068005350814
52	2.6012745529714842	2.5311351377114546	-6.248885584968484	-2.926016536253123e-17	0.0100353334778351	2994.06966672111
