mp_id	formula	spgroup	groups	eps_total(ϵ0)	eps_optic(ϵ0)	eps_ionic(ϵ0)	omega_LO(THz2π)	band_mass(me)	volume(Å^3)	alpha	v_gs	w_gs	v_rt	w_rt	energy_gs(meV)	energy_rt(meV)	ZPR(meV)	imag_memory	mobility(cm^2/V/s)
mp-1000	BaTe	225	2-16	12.773499999999999	6.311599999999999	6.461899999999998	4.078059756238319	0.38651089000000005	84.0743546603	1.4153128354995763	3.162205455678613	2.8125743105218755	10.87924680924798	9.63289884998096	-24.320948161623274	-53.38314640141915	-23.8686	11.80798015072735	61.334408391280704
mp-1002124	HfC	216	4-14	32.9656	24.1377	8.827900000000005	19.320870499202275	0.63744256	31.233244885599998	0.11558333891897686	3.0116283230031944	2.985739059011058	2.9892146621410824	2.947118539200072	-9.248909818504456	-10.700290510866768	-9.2361	0.5422840111571277	809.7923568839182
mp-1002164	GeC	216	14-14	11.169499999999998	8.111	3.058499999999998	23.29836608286228	0.35093776000000004	23.8031409075	0.23765129536776938	3.0241758818338367	2.9704913751130624	2.797755768262205	2.7181994112285057	-22.966743278406526	-25.752837963270572	-22.8973	0.8370746011451261	952.8998650965502
mp-10044	BAs	216	13-15	10.128899999999998	10.0322	0.0966999999999998	20.815453829627387	0.3261552100000001	27.1123214492	0.00683242297947417	3.000681185852766	2.999162163818632	2.872722363378238	2.870349991635631	-0.5882242286103195	-0.4812494390430961	-0.5886	0.02806878118774497	30576.914190156003
mp-1008223	CaSe	216	2-16	6.394000000000001	3.9792	2.4148000000000005	7.7945575811076795	0.30118143999999997	68.6599183215	1.0700859273110472	3.1181627187711602	2.86105831726732	5.977910437355387	5.303334177138992	-34.97789816739707	-57.07091806704625	-34.495	9.904559016730419	93.83787842003683
mp-1008506	BaGaSiH	156	2-13-14-1	23.3192	17.9636	5.355600000000001	18.32344993684225	0.4634886399999999	79.9809816704	0.11662846274870886	3.0117346401441276	2.9856093976864653	3.0660626218161564	3.0223790450693278	-8.850872399589226	-10.37704107917298	-8.8377	0.5869266146146346	1029.007718167407
mp-1008556	AlGaN2	115	13-13-15	9.319	5.1893	4.1297	23.816057579592663	0.25070049000000005	43.6980742036	0.5025399434249995	3.052418575260806	2.936733552759315	2.8285543666534307	2.6581058353682443	-49.813151389917294	-55.90173526306099	-49.4947	1.788722839098202	624.2280711056464
mp-1008559	BP	186	13-15	9.465699999999998	9.3251	0.140599999999999	24.304177067892343	0.34739236000000007	46.1947697898	0.010922857693503898	3.0010885814533195	2.9986594755378317	2.7198164422359588	2.716303123463024	-1.0980482533016196	-1.0304510856230253	-1.098	0.03375770222989016	23869.77848391029
mp-10086	YSF	129	3-16-17	15.627399999999998	5.923900000000001	9.703499999999998	11.142336226451512	0.40755455999999995	94.4423122395	1.1498103910782815	3.1280397761524896	2.850036876707617	4.52860191097406	3.91952794668998	-53.785122672579384	-75.82509936181883	-52.986	10.383778731381714	66.14550673892387
mp-1008680	TiGePt	216	4-14-10	23.997	19.183199999999996	4.8138000000000005	7.738145892089839	0.57380625	51.8528951833	0.16332841004034304	3.0165033792113185	2.9797987746251335	5.667816435722472	5.570244718613745	-5.2375301578266855	-8.403236644503872	-5.2268	1.2761477494060283	382.2744714516667
