#          alpha         energy    error
0.0000000000e+00 -2.0000000e+00 0.00e+00
2.6315789474e-01 -2.0808334e+00 1.72e-05
5.2631578947e-01 -2.1636241e+00 6.41e-05
7.8947368421e-01 -2.2488576e+00 2.51e-05
1.0526315789e+00 -2.3363064e+00 2.88e-05
1.3157894737e+00 -2.4261811e+00 1.25e-04
1.5789473684e+00 -2.5190031e+00 9.60e-05
1.8421052632e+00 -2.6145873e+00 1.15e-04
2.1052631579e+00 -2.7138573e+00 1.10e-04
2.3684210526e+00 -2.8157376e+00 1.35e-04
2.6315789474e+00 -2.9221211e+00 2.34e-04
2.8947368421e+00 -3.0334417e+00 3.89e-04
3.1578947368e+00 -3.1479025e+00 2.01e-04
3.4210526316e+00 -3.2675830e+00 2.22e-04
3.6842105263e+00 -3.3915036e+00 1.09e-04
3.9473684211e+00 -3.5210248e+00 1.49e-04
4.2105263158e+00 -3.6552241e+00 3.30e-04
4.4736842105e+00 -3.7903871e+00 3.45e-04
4.7368421053e+00 -3.9359679e+00 3.84e-04
5.0000000000e+00 -4.0830425e+00 5.70e-04
