#          alpha         energy    error
0.0000000000e+00 -4.0000000e+00 0.00e+00
2.6315789474e-01 -4.1359019e+00 5.56e-07
5.2631578947e-01 -4.2766460e+00 8.43e-07
7.8947368421e-01 -4.4230853e+00 1.15e-06
1.0526315789e+00 -4.5763855e+00 2.70e-06
1.3157894737e+00 -4.7382340e+00 3.16e-06
1.5789473684e+00 -4.9113034e+00 1.29e-05
1.8421052632e+00 -5.0999682e+00 1.30e-05
2.1052631579e+00 -5.3123506e+00 1.78e-05
2.3684210526e+00 -5.5637318e+00 2.94e-05
2.6315789474e+00 -5.8778163e+00 4.26e-05
2.8947368421e+00 -6.2669302e+00 6.50e-05
3.1578947368e+00 -6.7119493e+00 6.67e-05
3.4210526316e+00 -7.1870273e+00 9.26e-05
3.6842105263e+00 -7.6778059e+00 1.19e-04
3.9473684211e+00 -8.1770246e+00 1.22e-04
4.2105263158e+00 -8.6818050e+00 1.35e-04
4.4736842105e+00 -9.1902640e+00 1.37e-04
4.7368421053e+00 -9.7010911e+00 1.94e-04
5.0000000000e+00 -1.0214144e+01 1.79e-04
