#          alpha         energy    error
0.0000000000e+00 -4.0000000e+00 0.00e+00
2.6315789474e-01 -4.0845321e+00 3.81e-07
5.2631578947e-01 -4.1719697e+00 9.99e-07
7.8947368421e-01 -4.2628473e+00 9.23e-07
1.0526315789e+00 -4.3579320e+00 3.19e-06
1.3157894737e+00 -4.4584914e+00 3.69e-06
1.5789473684e+00 -4.5668226e+00 1.34e-05
1.8421052632e+00 -4.6888635e+00 2.46e-05
2.1052631579e+00 -4.8574532e+00 6.40e-05
2.3684210526e+00 -5.2214787e+00 1.84e-04
2.6315789474e+00 -5.6836121e+00 1.91e-04
2.8947368421e+00 -6.1648463e+00 1.74e-04
3.1578947368e+00 -6.6557836e+00 2.60e-04
3.4210526316e+00 -7.1533989e+00 1.67e-04
3.6842105263e+00 -7.6555565e+00 2.16e-04
3.9473684211e+00 -8.1612110e+00 2.55e-04
4.2105263158e+00 -8.6696010e+00 2.98e-04
4.4736842105e+00 -9.1804792e+00 2.57e-04
4.7368421053e+00 -9.6933021e+00 3.90e-04
5.0000000000e+00 -1.0207451e+01 2.75e-04
