T(K)	v(THz2π)	w(THz2π)	E(meV)	M(mₑ)	R(Å)	κ(N/m)	ReΣ(ps⁻¹)	ImΣ(ps⁻¹)	μ(cm²V⁻¹s⁻¹)
1.0	13.057980600976343	11.54056909211123	-276.83691943355154	0.7035510337417223	23.0480425191817	0.0007376657617315946	-1.9309854821151777e-12	9.83082231055444e-5	3.2556186937483687e7
2.0	12.798749742141258	11.279169100543381	-276.67322729920625	0.7075854551249648	23.046010317909374	0.0007230851609386762	-6.833056519142023e-13	0.005778661480599628	553855.057898953
3.0	12.501710450137347	10.97994347175161	-276.53711417453053	0.7124209494249912	23.049605698846975	0.0007061932943582246	-3.8587325664274924e-13	0.05031133904662224	63614.70295891144
4.0	12.187593337177756	10.662397197308385	-276.4222084480525	0.7179996189960134	23.03971677714656	0.0006887450212023765	-2.577993341237192e-13	0.15903004127869186	20125.385513213663
5.0	11.888874349356662	10.357857827396131	-276.32416541020734	0.7240017255421297	22.996700891304787	0.0006731205575184212	-1.8655962549052083e-13	0.3275270887731463	9771.835669851214
6.0	11.629268613597588	10.089432543790197	-276.23926147980643	0.7300781316669843	22.909466048702438	0.0006609294269008844	-1.3899891864259602e-13	0.5384680937967607	5943.789290000101
7.0	11.419916299260953	9.868144262365856	-276.16451949715594	0.7359577452132925	22.775598881662575	0.0006528460324618316	-1.0960256411669043e-13	0.7746500129622601	4131.595992204395
8.0	11.26256859869864	9.695950436219587	-276.09769506286995	0.7414675396311686	22.598759687564428	0.0006488891300769365	-9.613189914265379e-14	1.0229595087411116	3128.707306171531
9.0	11.15354986594739	9.569554191981338	-276.03714094140497	0.7465189428690867	22.385933932935256	0.000648717403887543	-8.064965788405426e-14	1.2744601780873033	2511.2914031722003
10.0	11.08672546532802	9.483262044631125	-275.98165638241943	0.7510850238072121	22.145276739247247	0.0006518382411182702	-6.965208385482811e-14	1.5233686075483985	2100.9628746824974
11.0	11.055334327920583	9.430746625387936	-275.93036243543946	0.7551785153800218	21.884707077424345	0.0006577317347352481	-6.086638751872822e-14	1.7663258446903845	1811.9764813139402
12.0	11.052967149126426	9.405987441513997	-275.8826089279207	0.7588343600463409	21.611160855440207	0.0006659144472779123	-5.29848372167968e-14	2.0012669521281667	1599.2573532044137
13.0	11.073991893931384	9.403681530263096	-275.8379085226175	0.7620976025003943	21.330317316573126	0.0006759655123843283	-4.765988318121967e-14	2.227421212041195	1436.8817498972278
14.0	11.113670887985078	9.419359202244491	-275.79589035151275	0.7650157282753054	21.04660669327391	0.0006875322910127485	-4.289094367050369e-14	2.4445029042271065	1309.280869898533
