T(K)	v(THz2π)	w(THz2π)	E(meV)	M(mₑ)	R(Å)	κ(N/m)	ReΣ(ps⁻¹)	ImΣ(ps⁻¹)	μ(cm²V⁻¹s⁻¹)
1.0	16.095957265639704	14.194942164522256	-277.780747061125	0.7065849519070571	18.415774050127354	0.0011380058284316864	-1.5078786760672064e-12	0.0010240500003698783	3.1253756044723867e6
2.0	16.03688951918053	14.128199587633654	-277.60658205857413	0.7080511780728452	18.350632820949535	0.0011378545372734195	-5.347758731895283e-13	5.998274832075867e-6	5.3357689977808523e8
3.0	15.977564820772928	14.061082155623586	-277.4550805429641	0.7095478738063855	18.285053238702343	0.001137711145930885	-2.920185883329067e-13	2.730464951030723e-6	1.1721596674250603e9
4.0	15.917977318073572	13.993581106756832	-277.31834138629364	0.7110760358186127	18.219029993241545	0.0011375756426830702	-1.9060500258602764e-13	1.9941423118950453e-6	1.6049711546787567e9
5.0	15.858134565448356	13.925699967069555	-277.1926138868217	0.7126366401516833	18.15254772082754	0.0011374496082133378	-1.368426283068342e-13	1.2123236545231213e-6	2.640005312916969e9
6.0	15.798045878870031	13.857443781789177	-277.0756904622121	0.7142306920495992	18.085589882196377	0.001137334848113454	-1.0444919075806959e-13	1.0841388771202541e-6	2.952150279323437e9
7.0	15.73772254358027	13.788819298259469	-276.96611380268683	0.7158592260294833	18.01813861715326	0.001137233421740326	-8.317035815786808e-14	8.591646255973602e-7	3.7251776825549393e9
8.0	15.67717840216526	13.719835524982857	-276.8628494133989	0.7175233012543072	17.950174543944478	0.0011371477029530738	-6.83114061609229e-14	7.209233637032539e-7	4.439502241230403e9
9.0	15.616430112181492	13.650503954831049	-276.76512504279685	0.719224001203124	17.881676549428725	0.0011370804189308936	-5.745220289091544e-14	6.062047566229878e-7	5.279636713419001e9
10.0	15.555497844953669	13.58083922186693	-276.67234247888354	0.7209624279229306	17.8126214963317	0.0011370347276446443	-4.923150823882409e-14	5.315262170973483e-7	6.021416791807621e9
11.0	15.49440604569603	13.51085980852657	-276.5840250443533	0.7227396957660971	17.742983851004155	0.001137014307004044	-4.283098154689972e-14	6.04778645232943e-7	5.292086475181678e9
12.0	15.433184522236274	13.440589064520548	-276.4997843814825	0.7245569214098706	17.672735167374668	0.0011370234799273713	-3.773210958918717e-14	1.337530946089481e-6	2.3928724028952975e9
13.0	15.371870028544521	13.370056695753687	-276.41929843296657	0.7264152081343043	17.601843356829576	0.0011370673933015208	-3.3592053669069955e-14	4.509365786594146e-6	7.097541074247772e8
14.0	15.310508561599862	13.299300935032328	-276.3422962999416	0.7283156211374076	17.53027168280148	0.0011371522727570396	-3.0175481883494474e-14	1.5880017233863995e-5	2.0154517729935652e8
15.0	15.249158522291651	13.228371545113061	-276.2685475238814	0.7302591504592038	17.457977480607756	0.001137285766939838	-2.731778314273189e-14	4.815788386698378e-5	6.6459334005541556e7
16.0	15.187894707020412	13.157333632003729	-276.19785431920184	0.7322466591227069	17.384910708233228	0.0011374773749290446	-2.4898486855526573e-14	0.00012730170437146124	2.514138286457585e7
17.0	15.126812847127294	13.08627200916691	-276.1300458250193	0.7342788163183792	17.311012544688793	0.001137738924398496	-2.2828897966419297e-14	0.00029955463971154274	1.0684330885336742e7
18.0	15.066034187216145	13.015295635640262	-276.06497375904746	0.7363560182428693	17.236214324707348	0.0011380850454052014	-2.1042136508887302e-14	0.0006393341903696821	5.006053073847511e6
19.0	15.005709467576892	12.944541526798524	-276.002509050192	0.7384783017484157	17.160437104805766	0.0011385335729993012	-1.9486912621511468e-14	0.0012567722834139485	2.5466354813474035e6
20.0	14.94602168266341	12.874177537665298	-275.9425391536104	0.7406452576492908	17.08359209579042	0.001139105814082513	-1.812329695293349e-14	0.0023038158210828227	1.38923470341117e6
21.0	14.887187113413114	12.804403533742752	-275.8849658408459	0.7428559511077101	17.00558209060065	0.001139826628272904	-1.6919783382499547e-14	0.0039781026805120875	804539.5370498485
22.0	14.829454334046135	12.735450654042754	-275.82970332222885	0.7451088560541396	16.926303891930456	0.0011407242943469792	-1.585120917680655e-14	0.0065241324117843455	490569.5787435146
23.0	14.773101124733097	12.667578588905515	-275.77667660634876	0.747401809347984	16.845651626394332	0.0011418301579714902	-1.489725643859505e-14	0.010231630821085613	312808.48037638323
24.0	14.718429438677127	12.601071001649915	-275.725820036022	0.7497319886716202	16.76352073803134	0.0011431780786838198	-1.404135532734002e-14	0.015431351866836102	207405.08780661775
25.0	14.665758748754856	12.536229392085765	-275.6770759645588	0.7520959162507411	16.679812391516634	0.001144803711794719	-1.3269869845808936e-14	0.022488767819339926	142317.30767230166
26.0	14.615418221765967	12.473365818519333	-275.63039355238806	0.7544894886130882	16.59443798569463	0.001146743672885276	-1.256919623719415e-14	0.03179622849275853	100657.87801357846
