T(K)	v(ω₀)	w(ω₀)	E(meV)	Reχ(m₀/ω₀)	Imχ(m₀/ω₀)	μ(cm²V⁻¹s⁻¹)
1	15.293473526454159	15.155436874240676	-6.866752709184567	-5.791641412021183e-31	7.610777341122248e-17	7.028080757274471e16
2	15.246361061872397	15.108260654740748	-6.869945035705086	9.893152205737463e-32	5.68077212918733e-17	9.415825272099726e16
3	15.199033689985784	15.06086920431291	-6.873155761773526	3.59068582600949e-32	9.541873552108647e-17	5.605729051735477e16
4	15.151401833722494	15.013173403598659	-6.876385264309036	1.7494532819345165e-32	4.213683738263141e-16	1.2694155779496112e16
5	15.10345809826256	14.965165867741424	-6.879633937423861	1.0016130768276893e-32	3.459391179453093e-16	1.5462014847218902e16
6	15.05519470139497	14.916838825126694	-6.882902193856777	-1.1371950762890641e-32	2.2012178627588146e-16	2.429980179790254e16
7	15.006603446816833	14.868184090704512	-6.886190466576721	-7.736463751391279e-33	2.439489589603776e-16	2.192637263425649e16
8	14.957675669054309	14.819193011021726	-6.889499210822046	-5.541636565983566e-33	5.343863913348868e-16	1.00094535801009e16
9	14.908402199186277	14.769856429990433	-6.892828905948876	-4.12888785280152e-33	3.329268469611455e-14	1.6066339577980722e14
10	14.85877329615106	14.720164620308205	-6.896180058350988	-3.173340539922698e-33	6.585083840816024e-13	8.122775513882215e12
11	14.808778581492678	14.670107218307189	-6.8995532044968835	-4.798286441776662e-33	7.513782497497471e-12	7.118805714279972e11
12	14.758406950462618	14.619673135182657	-6.902948915486562	-3.860949337616648e-33	5.6795347912895526e-11	9.417876594589357e10
13	14.70764645859498	14.568850443683253	-6.906367804847903	-3.161325596867742e-33	3.1308211532017176e-10	1.7084705628854406e10
14	14.656484067141115	14.517626124365195	-6.90981054391419	-2.0694896285684067e-33	1.34724999699056e-9	3.9702473853051805e9
15	14.604905992097736	14.465986410470098	-6.913277892013206	1.2622068392791135e-33	4.7571620242810295e-9	1.1243921797497718e9
16	14.552896408813698	14.413915499786773	-6.91677075073413	-2.8787463819791386e-33	1.4308191368302836e-8	3.738359126055388e8
17	14.50043828625888	14.36139637968547	-6.920290251143313	-2.4743779328885477e-33	3.7718364248820505e-8	1.418119763258676e8
18	14.447512628434657	14.308410070263486	-6.923837879336982	-2.14532602139645e-33	8.910055386570984e-8	6.0032351605422534e7
19	14.394098418932384	14.254935564924123	-6.927415639847038	0.0	1.919372763282493e-7	2.786804043606683e7
20	14.340172561792858	14.200949767122506	-6.931026249762791	0.0	3.8234532592065437e-7	1.3989750665905116e7
21	14.285709961044493	14.146427565064805	-6.93467335074692	0.0	7.12318969255062e-7	7.509158128272284e6
22	14.23068364922966	14.091341955817294	-6.9383617226283905	0.0	1.2526324841066808e-6	4.270139762277345e6
23	14.175065754191305	14.035665002541798	-6.942097481410855	0.0	2.0951270532435845e-6	2.553026924846025e6
