E(ħω₀)|α↓|ω→	0.1 ω₀	0.2 ω₀	0.3 ω₀	0.4 ω₀	0.5 ω₀	0.6 ω₀	0.7 ω₀	0.8 ω₀	0.9 ω₀	1.0 ω₀	1.1 ω₀	1.2 ω₀	1.3 ω₀	1.4 ω₀	1.5 ω₀	1.6 ω₀	1.7 ω₀	1.8 ω₀	1.9 ω₀	2.0 ω₀
0.1	-2.014895802796877	-2.0204401001413546	-2.0244673049645687	-2.0277121722308102	-2.0304592922446756	-2.0328545850224473	-2.0349846987329	-2.036906057953076	-2.038657827562339	-2.0402684988525572	-2.0417595589084647	-2.04314768196925	-2.0444461111807257	-2.0456655688174705	-2.0468148778877695	-2.047901399661413	-2.0489313496555495	-2.0499100309573097	-2.050842009867024	-2.0517312503841096
0.2	-2.0299900639598514	-2.041071605509212	-2.049121089183908	-2.055606408685304	-2.0610964231572186	-2.065882883370777	-2.070139060127215	-2.0739777976868887	-2.0774774277542347	-2.080694936732236	-2.0836733026225494	-2.0864458770843517	-2.089039148757342	-2.0914745637200487	-2.0937697687871912	-2.095939486673756	-2.097996148073778	-2.0999503584024684	-2.1018112491666923	-2.1035867470079217
0.3	-2.0452996101567607	-2.0619054892759894	-2.0739698985428774	-2.0836898216885578	-2.0919175161831642	-2.099090274611319	-2.105467873051295	-2.111219521725539	-2.11646269238207	-2.121282852130337	-2.1257444614611187	-2.1298975439884615	-2.1337818298569613	-2.137429485682585	-2.1408669791566055	-2.1441163916505075	-2.1471963662927602	-2.150122808088916	-2.1529094110059193	-2.155568061573076
0.4	-2.0608441706340903	-2.0829539704828135	-2.09902304462551	-2.111970061975203	-2.1229291002983586	-2.132482456447624	-2.1409761826210194	-2.148635742773486	-2.155617687915051	-2.162035930102882	-2.167976389643848	-2.173505746669272	-2.1786769615780814	-2.1835329127945267	-2.1881088817338155	-2.19243430229535	-2.1965340246062786	-2.200429248316734	-2.204138225271447	-2.20767679758835
0.5	-2.076647154818981	-2.104230728653417	-2.1242907076606428	-2.140455379356636	-2.1541381496859198	-2.1660654722973627	-2.176669310121638	-2.1862311984840566	-2.1949466666304684	-2.202958010787021	-2.2103725718552076	-2.217273659547094	-2.223727444947772	-2.2297875033414196	-2.235497917933988	-2.240895465263087	-2.2460111940009226	-2.250871591034143	-2.255499459464981	-2.2599145909931555
0.6	-2.092736714390191	-2.125751167995481	-2.149784057854495	-2.1691546923969214	-2.1855521284855324	-2.1998457419611994	-2.2125528749081083	-2.2240108675330608	-2.2344540786359683	-2.244053098512611	-2.252936630213416	-2.2612045728372903	-2.268936279062423	-2.2761959990064082	-2.283036600322921	-2.289502188064586	-2.295629997615355	-2.3014517929460157	-2.3069949195350556	-2.312283110770961
0.7	-2.1091472190764784	-2.147532745381915	-2.1755153991507044	-2.198077668729772	-2.217179041397709	-2.2338300957956916	-2.2486328185125677	-2.2619799871277153	-2.2741445848434005	-2.285325371551027	-2.295672331667042	-2.3053018981980955	-2.3143065654161434	-2.3227612281917684	-2.330727515163406	-2.3382568410123095	-2.345392612217754	-2.3521718566253513	-2.3586264507017116	-2.3647840595489797
0.8	-2.1259213398837886	-2.169595380981138	-2.2014983404813107	-2.2272348179867487	-2.249027491061116	-2.2680258128621302	-2.2849154312149973	-2.3001440720934565	-2.3140230709738967	-2.326779192544752	-2.3385835958417243	-2.3495691746739227	-2.35984151241971	-2.369486109459264	-2.378573325031293	-2.3871618592019788	-2.3953012696966582	-2.403033831622965	-2.4103959382695113	-2.4174191741800435
0.9	-2.143113021690125	-2.191961976669445	-2.227748000868799	-2.25663759971783	-2.281106743280334	-2.302440663591218	-2.3214073813630876	-2.338508935694043	-2.3540946626786083	-2.368419119662324	-2.3816745033587994	-2.3940100749428623	-2.4055444401113686	-2.4163736550866	-2.426576771496485	-2.4362197445247524	-2.445358258559404	-2.4540398155698115	-2.4623053084237383	-2.470190226302024
1.0	-2.160791716926202	-2.2146590755924396	-2.2542812563725083	-2.2862985491828627	-2.3134268013671875	-2.3370829575798613	-2.3581157477595194	-2.377080712353235	-2.3943647418637037	-2.4102499185234385	-2.4249493046461756	-2.438628411875087	-2.4514187850587454	-2.4634269747353628	-2.4747406778624743	-2.4854330677029313	-2.4955659254312685	-2.5051919552654907	-2.5143565290039374	-2.5230990228696157
1.1	-2.1790482201240113	-2.2377177066197147	-2.2811170389024085	-2.3162314244890054	-2.3459984910734986	-2.371961597221019	-2.39504805546867	-2.4158658824586974	-2.4348389643112798	-2.4522765749381312	-2.4684124292594505	-2.4834281454061378	-2.497468105448511	-2.5106492792235224	-2.523067951956053	-2.5348044703406	-2.5459266765471047	-2.5564924477454283	-2.566551610248103	-2.5761474066526455
1.2	-2.1980018420861485	-2.261174469320979	-2.3082766993832373	-2.3464513792535513	-2.378833557837162	-2.4070861379593893	-2.432212315429019	-2.4548712994397026	-2.475523278689192	-2.4945043085015794	-2.512068495727675	-2.5284133897253964	-2.543696086357121	-2.558043884392763	-2.571561588956554	-2.5843366669787518	-2.596442979225802	-2.6079435413180816	-2.6188926054999664	-2.6293372566943867
