M(m₀)|α↓|ω→	0.1 ω₀	0.2 ω₀	0.3 ω₀	0.4 ω₀	0.5 ω₀	0.6 ω₀	0.7 ω₀	0.8 ω₀	0.9 ω₀	1.0 ω₀	1.1 ω₀	1.2 ω₀	1.3 ω₀	1.4 ω₀	1.5 ω₀	1.6 ω₀	1.7 ω₀	1.8 ω₀	1.9 ω₀	2.0 ω₀
0.1	1.0755696120380571	1.0523636913659642	1.042393364374483	1.0365235807831146	1.0325370698032776	1.0295952313473564	1.0273026532350515	1.0254457774183552	1.0238980133229147	1.0225790271881317	1.0214351022002481	1.0204286956499722	1.019533021673607	1.0187279551635713	1.0179982951094242	1.0173322601403296	1.0167205562043602	1.0161557368422263	1.0156317535539394	1.0151436330205752
0.2	1.1632379297089288	1.1103861945657623	1.0884486718658615	1.075741605476684	1.0671976071294749	1.06093657849777	1.0560828433923084	1.0521679448126606	1.0489158196398922	1.0461523013367473	1.0437614431474178	1.0416627264917298	1.039798280501137	1.0381253069775398	1.03661138162374	1.0352314262725142	1.0339656936546242	1.032798388151007	1.0317166985984028	1.030710105393841
0.3	1.266112452682529	1.1750232189017853	1.1386545488357083	1.1179588171304653	1.1041928190671655	1.0941801216163334	1.0864614571721847	1.0802628615500824	1.0751320298756737	1.0707851119235305	1.0670340230691482	1.063748656434798	1.0608358087107894	1.058226746966762	1.0558695269322826	1.0537240601355005	1.051758840610869	1.049948710624916	1.0482732976431757	1.0467158969799557
0.4	1.3884375454697422	1.2474541814553284	1.193588944675273	1.1635268316945635	1.1437621954653856	1.1295010763330169	1.1185722088731933	1.109836202628617	1.1026322251455714	1.0965480825950258	1.0913119959584914	1.0867367344543375	1.0826886391774426	1.0790694370409348	1.0758050516628959	1.072838444267814	1.0701248782378354	1.0676286958930081	1.0653210692687145	1.063178395846218
0.5	1.5361489814568356	1.3291500836080414	1.253940051584416	1.21285330638631	1.1861788276354504	1.167095949124569	1.1525639333560735	1.1410046118458699	1.1315102075191237	1.1235181548056177	1.1166594681653113	1.1106810527872315	1.1054028928937392	1.1006930470189618	1.0964523315399657	1.0926045582178305	1.0890900983174179	1.085861514904014	1.0828805229802652	1.080115826385905
0.6	1.7177735518695634	1.4219669420083838	1.320533234389096	1.2664131497325302	1.2317544939963874	1.2071863665016758	1.1886025501250737	1.1738969613638488	1.161868834291182	1.1517791518463298	1.1431458838660744	1.13563991232725	1.1290280540956017	1.123139964636138	1.1178479595838051	1.1130542051206105	1.108682302945114	1.1046715971173637	1.1009732226081694	1.0975473004575163
0.7	1.9459378271356396	1.5282763258278078	1.3943660206312087	1.3247632357455543	1.280847211791656	1.2500229423763207	1.226873512333585	1.2086559434860835	1.1938210968894887	1.181422533725623	1.1708465664617171	1.1616762186448824	1.15361726461572	1.1464555172380173	1.1400309149309862	1.1342211414560095	1.1289309050564007	1.124084708912952	1.1196218478247697	1.115492865892236
0.8	2.239988867640668	1.6511506477712852	1.4766540109513837	1.3885593140228716	1.333869705452054	1.2958900298380382	1.2675846719261974	1.2454399056589605	1.2274913489585286	1.2125482468482458	1.1998433218360285	1.1888579191825754	1.1792276460454318	1.1706882124444395	1.1630427446719962	1.156141215754462	1.1498670350852611	1.1441280361658592	1.1388502584421203	1.1339735568031102
0.9	2.6307069856798058	1.7946305923598527	1.568891739192504	1.4585790148261941	1.391299929993118	1.3451114044016812	1.310969643605315	1.2844249722801238	1.2630167079911885	1.2452656827662782	1.2302251121645071	1.2172584871034922	1.2059206532771254	1.1958900001965318	1.1869277603996655	1.1788525174893758	1.1715236547016799	1.1648302717436791	1.1586835621231328	1.1530114462448617
1.0	3.1690293490482424	1.9641178042103669	1.6729340150627496	1.5357502859468726	1.4536940268243945	1.3980570897704907	1.3572917672430451	1.325807504306623	1.3005486581528274	1.2796947616314773	1.2620888093904137	1.2469574572387334	1.2337624627388306	1.2221165582296856	1.2117332507430036	1.2023955369599055	1.1939356781411725	1.1862217082582283	1.1791481857255555	1.1726297013741518
