R(r₀)|α↓|ω→	0.1 ω₀	0.2 ω₀	0.3 ω₀	0.4 ω₀	0.5 ω₀	0.6 ω₀	0.7 ω₀	0.8 ω₀	0.9 ω₀	1.0 ω₀	1.1 ω₀	1.2 ω₀	1.3 ω₀	1.4 ω₀	1.5 ω₀	1.6 ω₀	1.7 ω₀	1.8 ω₀	1.9 ω₀	2.0 ω₀
0.1	182.89437481176347	99.94326359947613	71.91854047532026	57.72593220993043	49.1118116700227	43.31092915894984	39.13151011762717	35.974147706016744	33.5038282633487	31.518323765448493	29.888166407476234	28.52652898121012	27.372947137032558	26.38398308124775	25.527602654689566	24.779647684474885	24.121544736796494	23.53877184394391	23.019805483003793	22.55538071464352
0.2	91.08182406164883	49.750885110589884	35.79363155614396	28.727962761585115	24.440997242687356	21.555015033949367	19.476343400435166	17.90644142886508	16.678477993095413	15.691761891924475	14.881839018155457	14.205489246386652	13.632619027373696	13.141611738526693	12.716527632092768	12.345347330079226	12.018831054887654	11.729755307852807	11.472388678197632	11.242123572769938
0.3	60.47289377437698	33.017732407308515	23.750272477524973	19.06060443501324	16.216258782063257	14.302081083010318	12.923790569701506	11.883147867274042	11.069390212167457	10.415676753815902	9.879227793356783	9.431361126637546	9.05210842475376	8.727128003525678	8.44584585257447	8.200289591260004	7.984331245784853	7.793180614748835	7.623037381125132	7.4708467240996965
0.4	45.164861549426725	24.649127248002785	17.727120907096488	14.225759378253548	12.102924751883275	10.674794703826821	9.646806243973856	8.870882088997853	8.264300222848215	7.777149093141191	7.377488953633256	7.043908480463537	6.761503346500676	6.5195703766302335	6.310219225884178	6.127501635679964	5.966846030684389	5.8246792597406785	5.69816688182434	5.585030735170278
0.5	35.977077634769884	19.626279073397658	14.112008245825244	11.323885643472536	9.634125304674443	8.497745163022314	7.680031000637946	7.063012199786341	6.580796655298544	6.1936338272763365	5.876090232819361	5.611118678990091	5.386854403046212	5.194778205598742	5.028610608441222	4.883618349011388	4.756164107804919	4.643405301091647	4.543087290099997	4.453398137552538
0.6	29.84930147249343	16.276245181586678	11.70086966783507	9.388462630181227	7.987565121425218	7.045791038309191	6.368341149855416	5.857324165847978	5.458072694182343	5.137613205703047	4.8748517324046725	4.655651906303595	4.470176361271802	4.311362645801761	4.174005779391934	4.054182956521891	3.9488800615731803	3.855741852637347	3.77290046918959	3.698854992479586
0.7	25.46998970919997	13.882043938142091	9.977673127007153	8.00526399540452	6.810829361022939	6.008155345233196	5.430967660115034	4.995724796037784	4.65578131563909	4.383007120810087	4.159409708810925	3.9729331420141656	3.8151891181737705	3.6801564121040493	3.5633980733945205	3.461570611429702	3.372105389011933	3.2929955350754123	3.222649680383492	3.1597892456812335
0.8	22.18336139940573	12.085179589949782	8.684399207967697	6.967174019323392	5.92770860665464	5.229447990636708	4.727524712553036	4.349166423056344	4.053748119420272	3.8167747778353514	3.622581668860355	3.460674352258876	3.323752178881204	3.206575484833334	3.1052838355389336	3.0169686136504126	2.939395599830275	2.870819451518582	2.8098563733599016	2.7553947110944095
0.9	19.62508515924272	10.68648322974352	7.677700637537955	6.159126055552504	5.2403069034945835	4.623339686394861	4.180019010399568	3.845954943336878	3.5852087689466545	3.3761150939596525	3.204821254616322	3.0620484150568856	2.9413426849105986	2.8380728867811564	2.7488274531947847	2.6710363673953132	2.6027258050071658	2.542354071295027	2.488699011505824	2.4407789630261956
1.0	17.57655362915964	9.566448977481407	6.871565950657493	5.512077806411629	4.689884889752534	4.138031444982346	3.7416534429563444	3.4430729807281537	3.2101039208312767	3.0233468159308883	2.870400158860016	2.7429586548479263	2.63524659217902	2.5431201626104936	2.4635273389314736	2.3941693357062004	2.3332809248408295	2.279483557031763	2.2316845763777673	2.1890064681010126
