w(ω₀)|α↓|ω→	0.1 ω₀	0.2 ω₀	0.3 ω₀	0.4 ω₀	0.5 ω₀	0.6 ω₀	0.7 ω₀	0.8 ω₀	0.9 ω₀	1.0 ω₀	1.1 ω₀	1.2 ω₀	1.3 ω₀	1.4 ω₀	1.5 ω₀	1.6 ω₀	1.7 ω₀	1.8 ω₀	1.9 ω₀	2.0 ω₀
0.1	0.6554113778356885	1.1833903312332135	1.6346494883704037	2.033712419049466	2.3945938466443915	2.726153013854784	3.0343916939915276	3.323586452160432	3.5969043256169	3.8567631635451427	4.105054939799995	4.34329064005231	4.572697871074206	4.794288721110886	5.008908216180397	5.217269725826661	5.41998135359476	5.617565958280831	5.810476578990719	5.999108485711824
0.2	0.6503754877710071	1.1751044410893718	1.6238614620521166	2.0208562092297684	2.37996115639114	2.709961023350615	3.0168129818183966	3.304764112684615	3.5769604428829638	3.835803975489459	4.083174209214971	4.320571983663165	4.549216446217253	4.770112495864901	4.9840989567970695	5.191883784693855	5.394070312406327	5.591177161779498	5.783653585169852	5.971891449634652
0.3	0.6452735965222628	1.1666827466733285	1.6128948777201144	2.007787764850152	2.365089067703841	2.6935075342523938	2.9989548052382817	3.2856478143120027	3.5567110671171807	3.8145303062994036	4.060972208553282	4.297527171299402	4.525405626760888	4.745605062018064	4.958957904755994	5.16616652626156	5.367829338742195	5.564460595417386	5.756505645895484	5.944352852492498
0.4	0.6400977359225357	1.1581333916140248	1.6017604119907478	1.994519992769718	2.349992563076416	2.676809525752874	2.9808361013432245	3.26625843353664	3.536179004764416	3.792966885516038	4.038475582678061	4.274184752644054	4.501295853179773	4.720798733175035	4.933519225719882	5.140153944042351	5.341296227256792	5.537455826123386	5.72907407003081	5.916535713396549
0.5	0.6348439226692102	1.1494495384454293	1.590449144978833	1.9810424180733976	2.3346600029820466	2.6598545000000744	2.962443761391723	3.246582452891644	3.515350494968988	3.7710998434677503	4.015670461712656	4.250530944236593	4.4768734964566415	4.695680087152813	4.907769743622246	5.113833136404543	5.314458370007113	5.510150551416881	5.7013468661167295	5.8884283527240004
0.6	0.6295084730236016	1.1406248409812336	1.578952808861594	1.9673453686857139	2.319080699389919	2.6426310602819068	2.9437659293136598	3.226607760741366	3.4942133366710686	3.748917024081451	3.9925448420082237	4.226553979435594	4.452127092247759	4.670238010964982	4.881698732362256	5.087193788438611	5.287305878324566	5.482535316371416	5.673315014474563	5.860022182255303
0.7	0.6240875703174561	1.1316527207917193	1.5672628431551758	1.9534188510839954	2.303243639562333	2.6251275025913414	2.924790475639739	3.206322018689077	3.4727551582071157	3.726406163508383	3.9690866793261663	4.202242120638276	4.427045275757912	4.6444615613977245	4.855295704638414	5.060225891182792	5.259829234310332	5.454601098989464	5.644969987475156	5.831309162381608
0.8	0.618577148908756	1.1225261727283544	1.555370142563878	1.939252253728668	2.287137154292736	2.607331455392329	2.9055046137717415	3.1857122580775052	3.450962996723108	3.703554454465673	3.945283439504233	4.17758319722967	4.401616307662533	4.618339479324892	4.828549914907951	5.032919233384674	5.232018771428629	5.426338779648687	5.616303208066089	5.802281249168518
0.9	0.6129728347878572	1.1132376651960938	1.5432649292855105	1.924834199977891	2.270748757680745	2.5892297108982105	2.885894726186175	3.16476470355335	3.428823120798767	3.680348368977464	3.921121921937003	4.152564430091645	4.375827899665576	4.591860016173102	4.8014501865163925	5.0052632289655	5.203864501979613	5.397738968203807	5.587305876086555	5.772930219651382
1.0	0.6072698975774327	1.1037790595354837	1.5309366509449793	1.910152432665089	2.254065024391845	2.5708080995265177	2.8659462393566186	3.1434646507417296	3.4063209123446767	3.656773545348531	3.8965881519982384	4.127172329503818	4.349667117676664	4.565010842009137	4.77398482422542	4.977246833482542	5.175356036944878	5.368791926702086	5.557968893338739	5.743247598817216
